## [iView]
## Converted from:	C:\Users\Jessica\Desktop\Manip SMI\Tests\Oeil droit\subject-23.idf
## Date:	21.03.2017 17:15:00
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	250
## Separator Type:	Unknown
## Trial Count:	126
## Uses Plane File:	False
## Number of Samples:	42160                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	participant                                                                                                                                                                                                                                                     
## Description:	experiment                                                                                                                                                                                                                                                      
## [Calibration]
## Calibration Type:	9-point
## Calibration Area:	1366	768
## Calibration Point 0:	Position(684;385)
## Calibration Point 1:	Position(68;38)
## Calibration Point 2:	Position(1300;38)
## Calibration Point 3:	Position(68;732)
## Calibration Point 4:	Position(1300;732)
## Calibration Point 5:	Position(68;385)
## Calibration Point 6:	Position(684;38)
## Calibration Point 7:	Position(1300;385)
## Calibration Point 8:	Position(684;732)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IRX0940001-1426
## Operating System :	6.1
## iView X Version:	2.8.26
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	R POR X [px]	R POR Y [px]	Frame	Aux1
414173118	SMP	1	453.16	622.56		
414177093	SMP	1	452.29	622.11		
414181236	SMP	1	451.57	621.16		
414185127	SMP	1	451.24	622.41		
414189113	SMP	1	450.55	621.18		
414193108	SMP	1	450.96	622.31		
414197108	SMP	1	452.03	622.07		
414201138	SMP	1	452.40	622.36		
414205116	SMP	1	452.63	623.43		
414209105	SMP	1	453.69	626.27		
414213513	SMP	1	453.49	625.77		
414217146	SMP	1	453.19	625.35		
414221117	SMP	1	453.33	625.03		
414225102	SMP	1	454.12	626.49		
414229108	SMP	1	455.96	625.79		
414233140	SMP	1	472.05	630.71		
414237122	SMP	1	499.49	643.45		
414241104	SMP	1	544.15	644.74		
414245104	SMP	1	547.90	639.75		
414249134	SMP	1	562.00	641.08		
414253119	SMP	1	564.61	643.12		
414257102	SMP	1	564.25	644.81		
414261112	SMP	1	566.28	651.41		
414265154	SMP	1	566.69	653.83		
414269125	SMP	1	566.39	653.17		
414273107	SMP	1	566.54	652.73		
414277106	SMP	1	568.23	654.46		
414281126	SMP	1	570.27	652.59		
414285137	SMP	1	571.16	651.25		
414289100	SMP	1	572.83	651.58		
414293124	SMP	1	572.97	651.04		
414297119	SMP	1	573.27	650.05		
414301134	SMP	1	574.04	651.24		
414305099	SMP	1	574.07	648.91		
414309114	SMP	1	574.34	647.82		
414313108	SMP	1	575.78	647.49		
414317133	SMP	1	576.78	648.61		
414321100	SMP	1	577.51	647.87		
414325103	SMP	1	577.55	649.52		
414329104	SMP	1	578.38	649.29		
414333131	SMP	1	578.51	648.89		
414337099	SMP	1	579.10	647.19		
414341100	SMP	1	578.97	648.11		
414345104	SMP	1	577.88	649.32		
414349138	SMP	1	577.68	648.76		
414353099	SMP	1	577.23	651.47		
414357113	SMP	1	576.39	651.38		
414361106	SMP	1	574.46	653.16		
414365100	SMP	1	573.21	657.32		
414369108	SMP	1	573.66	654.58		
414373117	SMP	1	573.64	650.04		
414377104	SMP	1	574.04	655.97		
414381111	SMP	1	574.43	650.19		
414385110	SMP	1	575.17	657.26		
414389100	SMP	1	576.27	660.61		
414393105	SMP	1	575.80	660.24		
414397102	SMP	1	576.57	651.32		
414401112	SMP	1	578.33	651.80		
414405114	SMP	1	579.14	658.86		
414409103	SMP	1	580.30	657.21		
414413101	SMP	1	580.81	652.76		
414417123	SMP	1	580.98	663.16		
414421130	SMP	1	580.75	662.15		
414425109	SMP	1	580.30	660.34		
414429100	SMP	1	579.04	661.82		
414433106	SMP	1	578.91	662.98		
414437107	SMP	1	578.43	661.18		
414441104	SMP	1	578.85	662.14		
414445099	SMP	1	577.71	662.62		
414449109	SMP	1	578.11	661.23		
414453100	SMP	1	577.52	662.95		
414457099	SMP	1	576.44	666.26		
414461096	SMP	1	576.11	663.20		
414465109	SMP	1	576.29	663.68		
414469099	SMP	1	576.47	659.32		
414473108	SMP	1	577.42	662.97		
414477100	SMP	1	578.02	662.53		
414481469	SMP	1	579.47	662.35		
414485113	SMP	1	579.44	663.15		
414489104	SMP	1	580.78	664.26		
414493096	SMP	1	580.65	661.40		
414497101	SMP	1	580.84	661.43		
414501108	SMP	1	581.42	660.51		
414505100	SMP	1	581.03	660.86		
414509094	SMP	1	579.65	655.30		
414513099	SMP	1	578.40	660.30		
414517109	SMP	1	578.61	656.89		
414521100	SMP	1	577.05	658.50		
414525095	SMP	1	576.55	656.04		
414529098	SMP	1	576.84	656.52		
414533107	SMP	1	576.40	652.98		
414537102	SMP	1	577.16	652.24		
414541107	SMP	1	577.65	651.98		
414545113	SMP	1	579.83	647.97		
414553094	SMP	1	579.81	652.72		
414555260	SMP	1	581.70	653.11		
414557125	SMP	1	582.61	653.75		
414561084	SMP	1	582.28	653.76		
414565144	SMP	1	583.20	653.52		
414569098	SMP	1	582.89	654.77		
414573114	SMP	1	581.89	653.81		
414577125	SMP	1	582.65	657.15		
